配列No,オフセット,内容,,,,
0,12,,,,,
1,16,,,,,
2,20,,,,,
3,24,,,,,
4,28,,,,,
5,32,,,,,
6,36,,,,,
7,40,stringChunkStart,,,,
8,44,stringChunkSize,,,,
9,48,,,,,
10,52,stringChunkEnd,,,,
11,56,nbStrings,,,,
12,60,,,,,
13,64,,,,,
14,68,,,,,
15,72,,,,,
16,76,,,,,
17,80,,,,,
18,84,,,,,
19,88,contentChunkStart,,,,
20,92,contentChunkSize,,,,
21,96,,,,,
22,100,,,,,
23,104,,,,,
24,108,,,,,
25,112,,,,,
26,116,,,,,
27,120,,,,,
28,124,,,,,
29,128,,,,,
30,132,,,,,
31,136,,,,,
32,140,,,,,
33,144,,,,,
34,148,,,,,
35,152,,,,,
36,156,,,,,
37,160,,,,,